verdict	reason	authoritative	engineSource	resolvedName	resolvedTarget	path
filtered	2-excluded-name	auth-filtered	start-menu	Visual Studio Installer	C:\Program Files (x86)\Microsoft Visual Studio\Installer\setup.exe	C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Visual Studio Installer.lnk
filtered	2-excluded-name	auth-filtered	start-menu	Uninstall Node.js	C:\Windows\SysWOW64\msiexec.exe	C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Node.js\Uninstall Node.js.lnk
kept	-	auth-kept	program-files	安全卫士 系统修复模块	C:\Program Files (x86)\360\360safe\360hotfix.exe	C:\Program Files (x86)\360\360safe\360hotfix.exe
filtered	2-excluded-name	auth-filtered	program-files	Uninstall WinRAR	C:\Program Files\WinRAR\Uninstall.exe	C:\Program Files\WinRAR\Uninstall.exe
filtered	2-excluded-name	auth-filtered	program-files	360安全卫士卸载清理模块	C:\Program Files (x86)\360\360safe\Utils\PowerSaver.exe	C:\Program Files (x86)\360\360safe\Utils\PowerSaver.exe
kept	-	auth-kept	start-menu	Maxon Cinema 4D	C:\Program Files\Maxon Cinema 4D 2024\Cinema 4D.exe	C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Maxon\Maxon Cinema 4D\Maxon Cinema 4D 2024.lnk
filtered	2-excluded-name	auth-filtered	start-menu	Install Bonjour	C:\Program Files (x86)\Labcenter Electronics\Proteus 8 Professional\DRIVERS\Bonjour.msi	C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Proteus 8 Professional\Hardware Drivers\Install Bonjour.lnk
kept	-	auth-kept	program-files	TODO: <檔案說明>	C:\Program Files (x86)\ASUS\ArmouryDevice\TaskSchedulerTool_asus_framework.exe	C:\Program Files (x86)\ASUS\ArmouryDevice\TaskSchedulerTool_asus_framework.exe
kept	-	auth-kept	program-files	Git for Windows	D:\Program Files\Git\bin\bash.exe	D:\Program Files\Git\bin\bash.exe
kept	-	auth-kept	program-files	corepack	D:\Program Files\nodejs\corepack.cmd	D:\Program Files\nodejs\corepack.cmd
kept	-	auth-kept	program-files	od	D:\Program Files\Git\usr\bin\od.exe	D:\Program Files\Git\usr\bin\od.exe
kept	-	auth-kept	program-files	FvSDKTestClient	C:\Program Files\NVIDIA Corporation\FrameViewSDK\SDK\FvSDKTestClient.exe	C:\Program Files\NVIDIA Corporation\FrameViewSDK\SDK\FvSDKTestClient.exe
kept	-	auth-kept	program-files	normalizer	C:\Users\17822\AppData\Local\Programs\Python\Python310\Scripts\normalizer.exe	C:\Users\17822\AppData\Local\Programs\Python\Python310\Scripts\normalizer.exe
kept	-	auth-kept	start-menu	网易云音乐	D:\Program Files (x86)\NetEase\CloudMusic\cloudmusic.exe	C:\ProgramData\Microsoft\Windows\Start Menu\Programs\网易云音乐.lnk
filtered	2-excluded-name	auth-filtered	start-menu	百度网盘卸载快捷方式	D:\Users\Public\baidu\BaiduNetdisk\uninst.exe	C:\ProgramData\Microsoft\Windows\Start Menu\Programs\百度网盘\卸载百度网盘.lnk
kept	-	auth-kept	program-files	The curl executable	C:\Program Files (x86)\Timi Personal Computing\MiService\3.0.0.304\curl.exe	C:\Program Files (x86)\Timi Personal Computing\MiService\3.0.0.304\curl.exe
kept	-	auth-kept	program-files	Java(TM) Platform SE binary	C:\Program Files\Java\jdk-17\bin\jaccessinspector.exe	C:\Program Files\Java\jdk-17\bin\jaccessinspector.exe
filtered	2-excluded-name	auth-filtered	program-files	LayerManager Support	C:\Program Files (x86)\ASUS\AURA lighting effect add-on\LM_Support.exe	C:\Program Files (x86)\ASUS\AURA lighting effect add-on\LM_Support.exe
kept	-	auth-kept	program-files	winpty-agent	D:\Program Files\Git\usr\bin\winpty-agent.exe	D:\Program Files\Git\usr\bin\winpty-agent.exe
kept	-	auth-kept	program-files	pip3.10	C:\Users\17822\AppData\Local\Programs\Python\Python310\Scripts\pip3.10.exe	C:\Users\17822\AppData\Local\Programs\Python\Python310\Scripts\pip3.10.exe
kept	-	auth-kept	program-files	7-Zip File Manager	C:\Program Files\7-Zip-Zstandard\7zFM.exe	C:\Program Files\7-Zip-Zstandard\7zFM.exe
kept	-	auth-kept	program-files	Microsoft Edge	C:\Program Files (x86)\Microsoft\EdgeCore\Optimized\platform_experiences_helper.exe	C:\Program Files (x86)\Microsoft\EdgeCore\Optimized\platform_experiences_helper.exe
kept	-	auth-kept	program-files	rmdir	D:\Program Files\Git\usr\bin\rmdir.exe	D:\Program Files\Git\usr\bin\rmdir.exe
kept	-	auth-kept	program-files	restarter	C:\Program Files\Android\Android Studio\bin\restarter.exe	C:\Program Files\Android\Android Studio\bin\restarter.exe
kept	-	auth-kept	program-files	Apache Commons Daemon Service Manager	C:\Program Files\Apache Software Foundation\Tomcat 11.0\bin\Tomcat11w.exe	C:\Program Files\Apache Software Foundation\Tomcat 11.0\bin\Tomcat11w.exe
kept	-	auth-kept	program-files	docker-buildx	C:\Program Files\Docker\cli-plugins\docker-buildx.exe	C:\Program Files\Docker\cli-plugins\docker-buildx.exe
kept	-	auth-kept	program-files	VirtualBox DTrace Chooser	C:\Program Files\AndrowsBox\VBoxDTrace.exe	C:\Program Files\AndrowsBox\VBoxDTrace.exe
kept	-	auth-kept	program-files	overlayer	C:\Program Files\Gpg4win\bin\overlayer.exe	C:\Program Files\Gpg4win\bin\overlayer.exe
kept	-	auth-kept	program-files	vsn.exe	C:\Program Files (x86)\Microsoft SQL Server Management Studio 20\Common7\IDE\vsn.exe	C:\Program Files (x86)\Microsoft SQL Server Management Studio 20\Common7\IDE\vsn.exe
kept	-	auth-kept	program-files	pandoc-citeproc	C:\Program Files (x86)\Pandoc\pandoc-citeproc.exe	C:\Program Files (x86)\Pandoc\pandoc-citeproc.exe
kept	-	auth-kept	program-files	Visual Studio Code	C:\Users\17822\AppData\Local\Programs\Microsoft VS Code\Code.exe	C:\Users\17822\AppData\Local\Programs\Microsoft VS Code\Code.exe
kept	-	auth-kept	program-files	git-askpass	D:\Program Files\Git\mingw64\bin\git-askpass.exe	D:\Program Files\Git\mingw64\bin\git-askpass.exe
kept	-	auth-kept	start-menu	QQ	C:\Program Files\Tencent\QQNT\QQ.exe	C:\ProgramData\Microsoft\Windows\Start Menu\Programs\腾讯软件\QQ\QQ.lnk
filtered	4-not-executable-target	auth-filtered	start-menu	Visit MobaXterm Website	C:\ProgramData\Microsoft\Windows\Start Menu\Programs\MobaXterm\Visit MobaXterm Website.lnk	C:\ProgramData\Microsoft\Windows\Start Menu\Programs\MobaXterm\Visit MobaXterm Website.lnk
kept	-	auth-kept	program-files	adb	C:\Program Files\ASUS\GlideX\adb.exe	C:\Program Files\ASUS\GlideX\adb.exe
filtered	5-system-tool	auth-filtered	start-menu	可以清除你磁盘上不需要的文件。	C:\WINDOWS\system32\cleanmgr.exe	C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Administrative Tools\Disk Cleanup.lnk
kept	-	auth-kept	program-files	vmcli	C:\Program Files (x86)\VMware\VMware Workstation\vmcli.exe	C:\Program Files (x86)\VMware\VMware Workstation\vmcli.exe
kept	-	auth-kept	program-files	Windows Subsystem for Linux	C:\Program Files\WSL\wslg.exe	C:\Program Files\WSL\wslg.exe
filtered	4-not-executable-target	auth-filtered	program-files	360压缩官网	http://yasuo.360.cn/	C:\Program Files (x86)\360\360zip\360压缩官网.url
kept	-	auth-kept	program-files	Microsoft Edge	C:\Program Files (x86)\Microsoft\EdgeCore\152.0.4191.66\elevation_service.exe	C:\Program Files (x86)\Microsoft\EdgeCore\152.0.4191.66\elevation_service.exe
kept	-	auth-kept	program-files	腾讯会议	C:\Program Files (x86)\Tencent\UpdateSvr\WemeetUpdateSvc.exe	C:\Program Files (x86)\Tencent\UpdateSvr\WemeetUpdateSvc.exe
