verdict	reason	authoritative	engineSource	resolvedName	resolvedTarget	path
kept	-	auth-kept	program-files	getopt	D:\Program Files\Git\usr\bin\getopt.exe	D:\Program Files\Git\usr\bin\getopt.exe
kept	-	auth-kept	program-files	fastapi	C:\Users\17822\AppData\Local\Programs\Python\Python310\Scripts\fastapi.exe	C:\Users\17822\AppData\Local\Programs\Python\Python310\Scripts\fastapi.exe
filtered	2-excluded-name	auth-filtered	program-files	htcvive_install	C:\Program Files\NVIDIA Corporation\FrameViewSDK\etw_fcat\htcvive_install.bat	C:\Program Files\NVIDIA Corporation\FrameViewSDK\etw_fcat\htcvive_install.bat
kept	-	auth-kept	program-files	米哈游启动器	D:\Program Files\miHoYo Launcher\1.18.0.380\hpatchz.exe	D:\Program Files\miHoYo Launcher\1.18.0.380\hpatchz.exe
kept	-	auth-kept	program-files	docker-debug	C:\Program Files\Docker\cli-plugins\docker-debug.exe	C:\Program Files\Docker\cli-plugins\docker-debug.exe
kept	-	auth-kept	program-files	unicharset_extractor	C:\Program Files\Tesseract-OCR\unicharset_extractor.exe	C:\Program Files\Tesseract-OCR\unicharset_extractor.exe
filtered	2-excluded-name	auth-filtered	program-files	VMware Tools Upgrader	C:\Program Files (x86)\VMware\VMware Workstation\tools-upgraders\VMwareToolsUpgraderNT.exe	C:\Program Files (x86)\VMware\VMware Workstation\tools-upgraders\VMwareToolsUpgraderNT.exe
filtered	5-system-tool	auth-filtered	start-menu	捕获要保存或共享的步骤，带屏幕截图。	C:\WINDOWS\system32\psr.exe	C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Accessories\Steps Recorder.lnk
kept	-	auth-kept	program-files	Java(TM) Platform SE binary	C:\Program Files\Java\jdk-24\bin\jps.exe	C:\Program Files\Java\jdk-24\bin\jps.exe
filtered	2-excluded-name	auth-filtered	program-files	pywin32_postinstall	C:\Users\17822\AppData\Local\Programs\Python\Python310\Scripts\pywin32_postinstall.exe	C:\Users\17822\AppData\Local\Programs\Python\Python310\Scripts\pywin32_postinstall.exe
kept	-	auth-kept	program-files	CheckTool	C:\Program Files (x86)\ASUS\ROGLSLoader\CheckTool.exe	C:\Program Files (x86)\ASUS\ROGLSLoader\CheckTool.exe
kept	-	auth-kept	program-files	minidumper	D:\Program Files\Git\usr\bin\minidumper.exe	D:\Program Files\Git\usr\bin\minidumper.exe
kept	-	auth-kept	program-files	Java(TM) Platform SE binary	C:\Program Files\Java\jdk-24\bin\ktab.exe	C:\Program Files\Java\jdk-24\bin\ktab.exe
kept	-	auth-kept	program-files	Diagnostics utility for Internet Explorer	C:\Program Files\Internet Explorer\iediagcmd.exe	C:\Program Files\Internet Explorer\iediagcmd.exe
kept	-	auth-kept	program-files	VBoxVMMPreload	C:\Program Files\ldplayer9box\VBoxVMMPreload.exe	C:\Program Files\ldplayer9box\VBoxVMMPreload.exe
kept	-	auth-kept	program-files	VMware mksSandbox	C:\Program Files (x86)\VMware\VMware Workstation\x64\mksSandbox-debug.exe	C:\Program Files (x86)\VMware\VMware Workstation\x64\mksSandbox-debug.exe
filtered	2-excluded-name	auth-filtered	program-files	InstallerCli	C:\Program Files\Docker\Docker\InstallerCli.exe	C:\Program Files\Docker\Docker\InstallerCli.exe
kept	-	auth-kept	program-files	maintenanceservice	C:\Program Files\Mozilla Firefox\maintenanceservice.exe	C:\Program Files\Mozilla Firefox\maintenanceservice.exe
kept	-	auth-kept	program-files	LICENCE	C:\Program Files (x86)\Labcenter Electronics\Proteus 8 Professional\BIN\LICENCE.EXE	C:\Program Files (x86)\Labcenter Electronics\Proteus 8 Professional\BIN\LICENCE.EXE
kept	-	auth-kept	program-files	360任务管理器	C:\Program Files (x86)\360\360safe\Netmon\360taskmgr.exe	C:\Program Files (x86)\360\360safe\Netmon\360taskmgr.exe
kept	-	auth-kept	program-files	Microsoft Publisher	C:\Program Files\Microsoft Office\root\Office16\MSPUB.EXE	C:\Program Files\Microsoft Office\root\Office16\MSPUB.EXE
kept	-	auth-kept	program-files	set_unicharset_properties	C:\Program Files\Tesseract-OCR\set_unicharset_properties.exe	C:\Program Files\Tesseract-OCR\set_unicharset_properties.exe
kept	-	auth-kept	program-files	VMware mksSandbox	C:\Program Files (x86)\VMware\VMware Workstation\x64\mksSandbox.exe	C:\Program Files (x86)\VMware\VMware Workstation\x64\mksSandbox.exe
kept	-	auth-kept	program-files	360安全卫士 网络配置模块	C:\Program Files (x86)\360\360safe\deepscan\360netcfg.exe	C:\Program Files (x86)\360\360safe\deepscan\360netcfg.exe
filtered	4-not-executable-target	auth-filtered	start-menu	Tomcat Manager	C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Apache Tomcat 11.0 Tomcat11\Tomcat Manager.lnk	C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Apache Tomcat 11.0 Tomcat11\Tomcat Manager.lnk
kept	-	auth-kept	program-files	tty	D:\Program Files\Git\usr\bin\tty.exe	D:\Program Files\Git\usr\bin\tty.exe
filtered	4-not-executable-target	auth-filtered	start-menu	细胞词库	D:\Program Files (x86)\SogouInput\16.8.0.5194\Sogou Cell Dict.url	C:\ProgramData\Microsoft\Windows\Start Menu\Programs\搜狗输入法\链接\细胞词库.lnk
filtered	4-not-executable-target	auth-filtered	start-menu	WiX Home Page	C:\ProgramData\Microsoft\Windows\Start Menu\Programs\WiX Toolset v3.11\WiX Home Page.lnk	C:\ProgramData\Microsoft\Windows\Start Menu\Programs\WiX Toolset v3.11\WiX Home Page.lnk
kept	-	auth-kept	program-files	VBoxCpuReport	C:\Program Files\ldplayer9box\VBoxCpuReport.exe	C:\Program Files\ldplayer9box\VBoxCpuReport.exe
kept	-	auth-kept	program-files	Microsoft Office component	C:\Program Files\Microsoft Office\root\Office16\ACCICONS.EXE	C:\Program Files\Microsoft Office\root\Office16\ACCICONS.EXE
kept	-	auth-kept	program-files	tiff2fsspec	C:\Users\17822\AppData\Local\Programs\Python\Python310\Scripts\tiff2fsspec.exe	C:\Users\17822\AppData\Local\Programs\Python\Python310\Scripts\tiff2fsspec.exe
kept	-	auth-kept	program-files	AacAmbientLighting	C:\Program Files\ASUS\AacAmbientHal\AacAmbientLighting.exe	C:\Program Files\ASUS\AacAmbientHal\AacAmbientLighting.exe
kept	-	auth-kept	program-files	鹰角启动器	C:\Program Files\Hypergryph Launcher\1.4.0\Launcher.exe	C:\Program Files\Hypergryph Launcher\1.4.0\Launcher.exe
filtered	5-system-tool	auth-filtered	program-files	Windows Defender Advanced Threat Protection Sense Group Policy module	C:\Program Files\Windows Defender Advanced Threat Protection\SenseGPParser.exe	C:\Program Files\Windows Defender Advanced Threat Protection\SenseGPParser.exe
filtered	2-excluded-name	auth-filtered	start-menu	Install drivers for Arduino	C:\Program Files (x86)\Labcenter Electronics\Proteus 8 Professional\Tools\ARDUINO\drivers\dpinst-x86.exe	C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Proteus 8 Professional\Hardware Drivers\Install drivers for Arduino.lnk
kept	-	auth-kept	start-menu	腾讯会议	D:\Program Files (x86)\Tencent\WeMeet\wemeetapp.exe	C:\ProgramData\Microsoft\Windows\Start Menu\Programs\腾讯会议\腾讯会议.lnk
filtered	4-not-executable-target	auth-filtered	start-menu	Tools for UWP apps	C:\Program Files (x86)\Windows Kits\10\Shortcuts\UWPAppsToolsDocumentation.url	C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Windows Kits\Windows Software Development Kit\Tools for UWP Apps.lnk
kept	-	auth-kept	program-files	NVIDIA Omniverse Launcher	C:\Program Files\NVIDIA Corporation\NVIDIA Omniverse Launcher\NVIDIA Omniverse Launcher.exe	C:\Program Files\NVIDIA Corporation\NVIDIA Omniverse Launcher\NVIDIA Omniverse Launcher.exe
kept	-	auth-kept	program-files	Copilot	C:\Program Files (x86)\Microsoft\EdgeCore\153.0.4234.32\mscopilot.exe	C:\Program Files (x86)\Microsoft\EdgeCore\153.0.4234.32\mscopilot.exe
kept	-	auth-kept	program-files	Word Converter	C:\Program Files\Microsoft Office\root\Office16\Wordconv.exe	C:\Program Files\Microsoft Office\root\Office16\Wordconv.exe
kept	-	auth-kept	program-files	Microsoft Visual C++ 2015-2022 Redistributable (x64) - 14.38.33130	D:\Program Files\Genshin Impact bilibili\vc_redist.x64.exe	D:\Program Files\Genshin Impact bilibili\vc_redist.x64.exe
kept	-	auth-kept	program-files	Create a self-signed digital certificate	C:\Program Files\Microsoft Office\root\Office16\SELFCERT.EXE	C:\Program Files\Microsoft Office\root\Office16\SELFCERT.EXE
kept	-	auth-kept	program-files	CheckTool	C:\Program Files (x86)\ASUS\AsusROGLSLService\CheckTool.exe	C:\Program Files (x86)\ASUS\AsusROGLSLService\CheckTool.exe
filtered	2-excluded-name	auth-filtered	start-menu	选择特殊字符并且复制到文档中。	C:\WINDOWS\system32\charmap.exe	C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Accessories\System Tools\Character Map.lnk
kept	-	auth-kept	program-files	blocked-file-util	D:\Program Files\Git\mingw64\bin\blocked-file-util.exe	D:\Program Files\Git\mingw64\bin\blocked-file-util.exe
kept	-	auth-kept	start-menu	Monitor Tomcat	C:\Program Files\Apache Software Foundation\Tomcat 11.0\bin\Tomcat11w.exe	C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Apache Tomcat 11.0 Tomcat11\Monitor Tomcat.lnk
kept	-	auth-kept	program-files	ASUS X User Function Manager	C:\Program Files\ASUS\AsusScreenXpert\Arm\AsusXUserFunctionManager.exe	C:\Program Files\ASUS\AsusScreenXpert\Arm\AsusXUserFunctionManager.exe
kept	-	auth-kept	program-files	arch	D:\Program Files\Git\usr\bin\arch.exe	D:\Program Files\Git\usr\bin\arch.exe
kept	-	auth-kept	program-files	VMware Player	C:\Program Files (x86)\VMware\VMware Workstation\vmplayer.exe	C:\Program Files (x86)\VMware\VMware Workstation\vmplayer.exe
kept	-	auth-kept	program-files	df	D:\Program Files\Git\usr\bin\df.exe	D:\Program Files\Git\usr\bin\df.exe
kept	-	auth-kept	start-menu	Pageant	D:\Program Files\PuTTY\pageant.exe	C:\ProgramData\Microsoft\Windows\Start Menu\Programs\PuTTY (64-bit)\Pageant.lnk
kept	-	auth-kept	program-files	GetFPS	C:\Program Files\ASUS\ARMOURY CRATE Service\ThrottleMonitorPlugin\GetFPS.exe	C:\Program Files\ASUS\ARMOURY CRATE Service\ThrottleMonitorPlugin\GetFPS.exe
kept	-	auth-kept	program-files	Obsidian	C:\Program Files\Obsidian\Obsidian.exe	C:\Program Files\Obsidian\Obsidian.exe
kept	-	auth-kept	program-files	Java(TM) Platform SE binary	C:\Program Files\Java\jdk-24\bin\jshell.exe	C:\Program Files\Java\jdk-24\bin\jshell.exe
kept	-	auth-kept	program-files	Microsoft Edge	C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe	C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe
kept	-	auth-kept	program-files	米哈游启动器	D:\Program Files\miHoYo Launcher\1.18.0.380\launcher.exe	D:\Program Files\miHoYo Launcher\1.18.0.380\launcher.exe
kept	-	auth-kept	program-files	Java(TM) Platform SE binary	C:\Program Files\Java\jdk-17\bin\jstat.exe	C:\Program Files\Java\jdk-17\bin\jstat.exe
kept	-	auth-kept	program-files	GnuPG’s config tool	C:\Program Files\GnuPG\bin\gpgconf.exe	C:\Program Files\GnuPG\bin\gpgconf.exe
kept	-	auth-kept	program-files	csplit	D:\Program Files\Git\usr\bin\csplit.exe	D:\Program Files\Git\usr\bin\csplit.exe
kept	-	auth-kept	program-files	Trae CN	C:\Users\17822\AppData\Local\Programs\Trae CN\Trae CN.exe	C:\Users\17822\AppData\Local\Programs\Trae CN\Trae CN.exe
kept	-	auth-kept	program-files	Qt Qtwebengineprocess	D:\Program Files\Genshin Impact\QtWebEngineProcess.exe	D:\Program Files\Genshin Impact\QtWebEngineProcess.exe
kept	-	auth-kept	program-files	expr	D:\Program Files\Git\usr\bin\expr.exe	D:\Program Files\Git\usr\bin\expr.exe
filtered	2-excluded-name	auth-filtered	program-files	360安全卫士 漏洞补丁安装模块	C:\Program Files (x86)\360\360safe\modules\360PatchMgr.exe	C:\Program Files (x86)\360\360safe\modules\360PatchMgr.exe
kept	-	auth-kept	program-files	Capinfos	D:\Program Files\Wireshark\capinfos.exe	D:\Program Files\Wireshark\capinfos.exe
kept	-	auth-kept	program-files	com.docker.build	C:\Program Files\Docker\Docker\resources\com.docker.build.exe	C:\Program Files\Docker\Docker\resources\com.docker.build.exe
kept	-	auth-kept	program-files	SSMS 20	C:\Program Files (x86)\Microsoft SQL Server Management Studio 20\Common7\IDE\Ssms.exe	C:\Program Files (x86)\Microsoft SQL Server Management Studio 20\Common7\IDE\Ssms.exe
filtered	5-system-tool	auth-filtered	program-files	Windows Defender Advanced Threat Protection Sense CE module	C:\Program Files\Windows Defender Advanced Threat Protection\Classification\SenseCE.exe	C:\Program Files\Windows Defender Advanced Threat Protection\Classification\SenseCE.exe
kept	-	auth-kept	program-files	7-Zip GUI	C:\Program Files\7-Zip-Zstandard\7zG.exe	C:\Program Files\7-Zip-Zstandard\7zG.exe
filtered	2-excluded-name	auth-filtered	start-menu	Download Latest Version	C:\Windows\Installer\{F522C947-52FA-4C01-B933-16292944E000}\_13AF6E226854B88ABE41D3.exe	C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Lakhya's Innovation Inc\GUI Turbo Assembler\Download Latest Version.lnk
filtered	4-not-executable-target	auth-filtered	start-menu	Sample UWP apps	C:\Program Files (x86)\Windows Kits\10\Shortcuts\UWPAppsSamples.url	C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Windows Kits\Windows Software Development Kit\Sample UWP Apps.lnk
kept	-	auth-kept	program-files	小米笔记本核心组件	C:\Program Files (x86)\Timi Personal Computing\MiService\3.0.0.304\Launcher.exe	C:\Program Files (x86)\Timi Personal Computing\MiService\3.0.0.304\Launcher.exe
kept	-	auth-kept	program-files	pingo	C:\Program Files (x86)\iSlide Tools\Files\pingo.exe	C:\Program Files (x86)\iSlide Tools\Files\pingo.exe
kept	-	auth-kept	program-files	Microsoft Office	C:\Program Files\Microsoft Office\root\Office16\protocolhandler.exe	C:\Program Files\Microsoft Office\root\Office16\protocolhandler.exe
kept	-	auth-kept	program-files	GnuPG’s OpenPGP verify tool	C:\Program Files\GnuPG\bin\gpgv.exe	C:\Program Files\GnuPG\bin\gpgv.exe
kept	-	auth-kept	program-files	ARMOURY CRATE Service	C:\Program Files (x86)\ASUS\ASUS\ARMOURY CRATE Service\ArmouryCrate.Service.exe	C:\Program Files (x86)\ASUS\ASUS\ARMOURY CRATE Service\ArmouryCrate.Service.exe
kept	-	auth-kept	start-menu	Microsoft Blend for Visual Studio 2022	D:\Program Files\Microsoft Visual Studio\2022\Community\Common7\IDE\Blend.exe	C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Blend for Visual Studio 2022.lnk
kept	-	auth-kept	program-files	docker-init	C:\Program Files\Docker\cli-plugins\docker-init.exe	C:\Program Files\Docker\cli-plugins\docker-init.exe
kept	-	auth-kept	program-files	原神	D:\Program Files\Genshin Impact bilibili\1.18.0.380\HYUpdater.exe	D:\Program Files\Genshin Impact bilibili\1.18.0.380\HYUpdater.exe
filtered	2-excluded-name	auth-filtered	program-files	InstallScript Setup Launcher Unicode	C:\Program Files (x86)\InstallShield Installation Information\{6EE02C78-E908-493B-B1A6-D64AFC53002F}\setup.exe	C:\Program Files (x86)\InstallShield Installation Information\{6EE02C78-E908-493B-B1A6-D64AFC53002F}\setup.exe
kept	-	auth-kept	program-files	diff	D:\Program Files\Git\usr\bin\diff.exe	D:\Program Files\Git\usr\bin\diff.exe
kept	-	auth-kept	start-menu	输入法修复器	D:\Program Files (x86)\SogouInput\SogouExe\SogouExe.exe	C:\ProgramData\Microsoft\Windows\Start Menu\Programs\搜狗输入法\输入法修复器.lnk
kept	-	auth-kept	program-files	EpicOnlineServices - Development	C:\Program Files (x86)\Epic Games\Epic Online Services\EpicOnlineServices - Development.cmd	C:\Program Files (x86)\Epic Games\Epic Online Services\EpicOnlineServices - Development.cmd
kept	-	auth-kept	program-files	GetDeviceVersion	C:\Program Files (x86)\ASUS\ASUS\ROG Live Service\GetDeviceVersion.exe	C:\Program Files (x86)\ASUS\ASUS\ROG Live Service\GetDeviceVersion.exe
kept	-	auth-kept	program-files	crashreport	D:\Program Files\Genshin Impact\crashreport.exe	D:\Program Files\Genshin Impact\crashreport.exe
kept	-	auth-kept	program-files	FeedbackCollector.exe	C:\Program Files (x86)\Microsoft SQL Server Management Studio 20\Common7\IDE\FeedbackCollector.exe	C:\Program Files (x86)\Microsoft SQL Server Management Studio 20\Common7\IDE\FeedbackCollector.exe
kept	-	auth-kept	program-files	hpatchz	D:\Program Files\Genshin Impact\hpatchz.exe	D:\Program Files\Genshin Impact\hpatchz.exe
kept	-	auth-kept	program-files	Java(TM) Platform SE binary	C:\Program Files\Java\jdk-24\bin\java.exe	C:\Program Files\Java\jdk-24\bin\java.exe
filtered	2-excluded-name	auth-filtered	program-files	Docker Desktop Privileged Helper	C:\Program Files\Docker\Docker\resources\com.docker.admin.exe	C:\Program Files\Docker\Docker\resources\com.docker.admin.exe
filtered	2-excluded-name	auth-filtered	program-files	VMware network install library executable	C:\Program Files (x86)\VMware\VMware Workstation\vnetlib.exe	C:\Program Files (x86)\VMware\VMware Workstation\vnetlib.exe
kept	-	auth-kept	program-files	vnetstats application	C:\Program Files (x86)\VMware\VMware Workstation\vnetstats.exe	C:\Program Files (x86)\VMware\VMware Workstation\vnetstats.exe
kept	-	auth-kept	program-files	trae-cn	C:\Users\17822\AppData\Local\Programs\Trae CN\bin\trae-cn.cmd	C:\Users\17822\AppData\Local\Programs\Trae CN\bin\trae-cn.cmd
kept	-	auth-kept	program-files	sexp-conv	D:\Program Files\Git\usr\bin\sexp-conv.exe	D:\Program Files\Git\usr\bin\sexp-conv.exe
filtered	5-system-tool	auth-filtered	program-files	Microsoft Malware Protection DLP User Agent	C:\Program Files\Windows Defender\DlpUserAgent.exe	C:\Program Files\Windows Defender\DlpUserAgent.exe
filtered	5-system-tool	auth-filtered	start-menu	连接到远程 iSCSI 目标并配置连接设置。	C:\WINDOWS\system32\iscsicpl.exe	C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Administrative Tools\iSCSI Initiator.lnk
kept	-	auth-kept	program-files	VMware USB Arbitration Service	C:\Program Files (x86)\Common Files\VMware\USB\vmware-usbarbitrator.exe	C:\Program Files (x86)\Common Files\VMware\USB\vmware-usbarbitrator.exe
kept	-	auth-kept	program-files	Epic Online Services Main Service	C:\Program Files (x86)\Epic Games\Epic Online Services\EpicOnlineServicesUserHelper.exe	C:\Program Files (x86)\Epic Games\Epic Online Services\EpicOnlineServicesUserHelper.exe
filtered	2-excluded-name	auth-filtered	start-menu	Git Release Notes	D:\Program Files\Git\ReleaseNotes.html	C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Git\Git Release Notes.lnk
kept	-	auth-kept	program-files	setclasspath	C:\Program Files\Apache Software Foundation\Tomcat 11.0\bin\setclasspath.bat	C:\Program Files\Apache Software Foundation\Tomcat 11.0\bin\setclasspath.bat
kept	-	auth-kept	program-files	Elevate	C:\Program Files\NVIDIA Corporation\NVIDIA Omniverse Launcher\resources\elevate.exe	C:\Program Files\NVIDIA Corporation\NVIDIA Omniverse Launcher\resources\elevate.exe
kept	-	auth-kept	program-files	VirtualBox Command Line Tool	C:\Program Files\AndrowsBox\ABoxManage.exe	C:\Program Files\AndrowsBox\ABoxManage.exe
kept	-	auth-kept	program-files	MsgGen - Software Delivery	C:\Program Files (x86)\WiX Toolset v3.11\SDK\MsgGen.exe	C:\Program Files (x86)\WiX Toolset v3.11\SDK\MsgGen.exe
kept	-	auth-kept	program-files	Canon IJ Printer Assistant Tool	C:\Program Files\Canon\Canon IJ Printer Assistant Tool\cnmpaui.exe	C:\Program Files\Canon\Canon IJ Printer Assistant Tool\cnmpaui.exe
kept	-	auth-kept	program-files	360安全卫士 安全防护中心模块	C:\Program Files (x86)\360\360safe\ipc\DataProt.exe	C:\Program Files (x86)\360\360safe\ipc\DataProt.exe
kept	-	auth-kept	program-files	psl	D:\Program Files\Git\usr\bin\psl.exe	D:\Program Files\Git\usr\bin\psl.exe
kept	-	auth-kept	program-files	Docker desktop	C:\Program Files\Docker\Docker\resources\Docker desktop.exe	C:\Program Files\Docker\Docker\resources\Docker desktop.exe
kept	-	auth-kept	program-files	Command line tool for creating Appx packages	C:\Program Files (x86)\Windows Kits\10\App Certification Kit\makeappx.exe	C:\Program Files (x86)\Windows Kits\10\App Certification Kit\makeappx.exe
filtered	2-excluded-name	auth-filtered	program-files	DesktopAppsToolsDocumentation	http://go.microsoft.com/fwlink/p/?LinkID=529574	C:\Program Files (x86)\Windows Kits\10\Shortcuts\DesktopAppsToolsDocumentation.url
kept	-	auth-kept	program-files	f2py	C:\Users\17822\AppData\Local\Programs\Python\Python310\Scripts\f2py.exe	C:\Users\17822\AppData\Local\Programs\Python\Python310\Scripts\f2py.exe
filtered	4-not-executable-target	auth-filtered	start-menu	Windows Subsystem for Linux	C:\WINDOWS\Installer\{DC52CEBE-E53A-463D-98EE-81AF640914BD}\wsl.ico	C:\ProgramData\Microsoft\Windows\Start Menu\Programs\WSL.lnk
kept	-	auth-kept	program-files	Java(TM) Platform SE binary	C:\Program Files\Java\jdk-17\bin\java.exe	C:\Program Files\Java\jdk-17\bin\java.exe
kept	-	auth-kept	program-files	Java(TM) Platform SE binary	C:\Program Files\Java\jdk-24\bin\klist.exe	C:\Program Files\Java\jdk-24\bin\klist.exe
kept	-	auth-kept	program-files	UnityCrashHandler64	D:\Program Files\Star Rail\Game\UnityCrashHandler64.exe	D:\Program Files\Star Rail\Game\UnityCrashHandler64.exe
kept	-	auth-kept	program-files	join	D:\Program Files\Git\usr\bin\join.exe	D:\Program Files\Git\usr\bin\join.exe
kept	-	auth-kept	program-files	which	D:\Program Files\Git\usr\bin\which.exe	D:\Program Files\Git\usr\bin\which.exe
filtered	2-excluded-name	auth-filtered	program-files	NetAdpUninstall	C:\Program Files\ldplayer9box\NetAdpUninstall.exe	C:\Program Files\ldplayer9box\NetAdpUninstall.exe
kept	-	auth-kept	program-files	原神	D:\Program Files\Genshin Impact\launcher.exe	D:\Program Files\Genshin Impact\launcher.exe
kept	-	auth-kept	start-menu	企业微信	D:\Program Files (x86)\WXWork\WXWork.exe	C:\ProgramData\Microsoft\Windows\Start Menu\Programs\企业微信\企业微信.lnk
kept	-	auth-kept	program-files	tpm2emu	C:\Program Files (x86)\VMware\VMware Workstation\x64\tpm2emu.exe	C:\Program Files (x86)\VMware\VMware Workstation\x64\tpm2emu.exe
kept	-	auth-kept	program-files	Obsidian CLI	C:\Program Files\Obsidian\Obsidian.com	C:\Program Files\Obsidian\Obsidian.com
kept	-	auth-kept	program-files	nvcontainer	C:\Program Files\NVIDIA Corporation\NvContainer\nvcontainer.exe	C:\Program Files\NVIDIA Corporation\NvContainer\nvcontainer.exe
filtered	2-excluded-name	auth-filtered	program-files	PwaHelper executable for Identity Proxy	C:\Program Files (x86)\Microsoft\EdgeCore\152.0.4191.66\pwahelper.exe	C:\Program Files (x86)\Microsoft\EdgeCore\152.0.4191.66\pwahelper.exe
filtered	2-excluded-name	auth-filtered	program-files	Microsoft Edge Update COM Registration Helper	C:\Program Files (x86)\Microsoft\EdgeUpdate\1.3.265.7\MicrosoftEdgeUpdateComRegisterShell64.exe	C:\Program Files (x86)\Microsoft\EdgeUpdate\1.3.265.7\MicrosoftEdgeUpdateComRegisterShell64.exe
kept	-	auth-kept	program-files	llama-quantize	C:\Users\17822\AppData\Local\Programs\Ollama\lib\ollama\llama-quantize.exe	C:\Users\17822\AppData\Local\Programs\Ollama\lib\ollama\llama-quantize.exe
kept	-	auth-kept	program-files	VirtualBox Command Line Tool	C:\Program Files\ldplayer9box\VBoxManage.exe	C:\Program Files\ldplayer9box\VBoxManage.exe
kept	-	auth-kept	program-files	360安全卫士 安全防护中心模块	C:\Program Files (x86)\360\360safe\safemon\360tray.exe	C:\Program Files (x86)\360\360safe\safemon\360tray.exe
filtered	4-not-executable-target	auth-filtered	start-menu	Saves	D:\Program Files\Cisco Packet Tracer 8.2.2\saves	C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Cisco Packet Tracer\Saves.lnk
kept	-	auth-kept	program-files	Thunder BHO Platform	C:\Program Files (x86)\Common Files\Thunder Network\ServicePlatform\UnInstall.exe	C:\Program Files (x86)\Common Files\Thunder Network\ServicePlatform\UnInstall.exe
kept	-	auth-kept	program-files	Java(TM) Platform SE binary	C:\Program Files\Java\jdk-24\bin\kinit.exe	C:\Program Files\Java\jdk-24\bin\kinit.exe
filtered	2-excluded-name	auth-filtered	program-files	Copilot Update	C:\Program Files (x86)\Microsoft\EdgeUpdate\1.3.265.7\CopilotUpdate.exe	C:\Program Files (x86)\Microsoft\EdgeUpdate\1.3.265.7\CopilotUpdate.exe
kept	-	auth-kept	program-files	GnuPG’s card tool to the agent	C:\Program Files\GnuPG\bin\gpg-card.exe	C:\Program Files\GnuPG\bin\gpg-card.exe
kept	-	auth-kept	program-files	tee	D:\Program Files\Git\usr\bin\tee.exe	D:\Program Files\Git\usr\bin\tee.exe
kept	-	auth-kept	program-files	向日葵远程控制64位	D:\Program Files\Oray\SunLogin\SunloginClient\SunloginClient.exe	D:\Program Files\Oray\SunLogin\SunloginClient\SunloginClient.exe
filtered	5-system-tool	auth-filtered	start-menu	Windows PowerShell	C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe	C:\Users\17822\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\Windows PowerShell\Windows PowerShell.lnk
kept	-	auth-kept	program-files	Microsoft ClickToRun Virtualization Optimization	C:\Program Files\Microsoft Office\root\Office16\PerfBoost.exe	C:\Program Files\Microsoft Office\root\Office16\PerfBoost.exe
kept	-	auth-kept	program-files	edit_test_dll	D:\Program Files\Git\mingw64\bin\edit_test_dll.exe	D:\Program Files\Git\mingw64\bin\edit_test_dll.exe
kept	-	auth-kept	program-files	Epic Online Services Host	C:\Program Files (x86)\Epic Games\Epic Online Services\service\EpicOnlineServicesHost.exe	C:\Program Files (x86)\Epic Games\Epic Online Services\service\EpicOnlineServicesHost.exe
kept	-	auth-kept	program-files	PUTSPICE	C:\Program Files (x86)\Labcenter Electronics\Proteus 8 Professional\BIN\PUTSPICE.EXE	C:\Program Files (x86)\Labcenter Electronics\Proteus 8 Professional\BIN\PUTSPICE.EXE
kept	-	auth-kept	program-files	.NET Framework UserControl Test Container	C:\Program Files (x86)\Microsoft SQL Server Management Studio 20\Common7\IDE\UserControlTestContainer.exe	C:\Program Files (x86)\Microsoft SQL Server Management Studio 20\Common7\IDE\UserControlTestContainer.exe
kept	-	auth-kept	program-files	ASUS eGPU Product	C:\Program Files\ASUS\ARMOURY CRATE Service\TBGraphicControl\ARMOURY CRATE eGPU Product.exe	C:\Program Files\ASUS\ARMOURY CRATE Service\TBGraphicControl\ARMOURY CRATE eGPU Product.exe
kept	-	auth-kept	program-files	Microsoft Document Explorer	C:\Program Files (x86)\Common Files\Microsoft Shared\Help 9\dexplore.exe	C:\Program Files (x86)\Common Files\Microsoft Shared\Help 9\dexplore.exe
kept	-	auth-kept	program-files	Java(TM) Platform SE binary	C:\Program Files\Java\jdk-17\bin\jhsdb.exe	C:\Program Files\Java\jdk-17\bin\jhsdb.exe
kept	-	auth-kept	program-files	tstPDMAsyncCompletion	C:\Program Files\ldplayer9box\tstPDMAsyncCompletion.exe	C:\Program Files\ldplayer9box\tstPDMAsyncCompletion.exe
